MasterID,Mag,Magerr,RA,Dec,MJD,Blend
2010284006258,13.09,0.05,311.04063,-10.72351,56563.12786,0
2010284006258,13.25,0.05,311.04063,-10.72355,56598.09963,0
2010284006258,13.26,0.05,311.04064,-10.72357,56598.10600,0
2010284006258,13.25,0.05,311.04063,-10.72356,56598.11235,0
2010284006258,13.27,0.05,311.04062,-10.72356,56598.11872,0
3011153037735,13.28,0.06,311.04064,-10.72364,53582.56910,0
3011153037735,13.26,0.06,311.04059,-10.72365,53582.57949,0
3011153037735,13.30,0.06,311.04055,-10.72359,53582.58961,0
3011153037735,13.28,0.06,311.04068,-10.72356,53582.59957,0
3011153037735,13.09,0.06,311.04066,-10.72354,54206.77186,0
3011153037735,13.08,0.06,311.04065,-10.72354,54206.78228,0
3011153037735,13.09,0.06,311.04063,-10.72351,54206.79271,0
3011153037735,13.10,0.06,311.04064,-10.72353,54206.80316,0
3011153037735,12.87,0.05,311.04066,-10.72354,54760.39704,0
3011153037735,12.88,0.05,311.04065,-10.72353,54760.40856,0
3011153037735,12.88,0.05,311.04065,-10.72354,54760.41998,0
3011153037735,12.89,0.05,311.04066,-10.72352,54760.43142,0
3011153037735,13.07,0.06,311.04066,-10.72354,54734.50244,0
3011153037735,13.07,0.06,311.04067,-10.72355,54734.51107,0
3011153037735,13.06,0.06,311.04067,-10.72355,54734.51970,0
3011153037735,13.08,0.06,311.04068,-10.72355,54734.52830,0
3011153037735,12.90,0.06,311.04064,-10.72354,54947.80041,0
3011153037735,12.90,0.06,311.04065,-10.72353,54947.80477,0
3011153037735,12.88,0.06,311.04064,-10.72353,54947.80921,0
3011153037735,12.93,0.06,311.04065,-10.72354,54947.81359,0
3011153037735,12.95,0.05,311.04064,-10.72353,54962.75601,0
3011153037735,12.95,0.05,311.04063,-10.72355,54962.76987,0
3011153037735,12.96,0.05,311.04065,-10.72354,54962.78670,0
3011153037735,12.96,0.05,311.04064,-10.72354,54962.81244,0
3011153037735,12.90,0.05,311.04064,-10.72351,55801.53194,0
3011153037735,12.89,0.05,311.04063,-10.72351,55801.54413,0
3011153037735,12.90,0.05,311.04064,-10.72350,55801.55638,0
3011153037735,12.91,0.05,311.04064,-10.72351,55801.56859,0
3011153037735,12.89,0.05,311.04060,-10.72352,56405.72405,0
3011153037735,12.88,0.05,311.04059,-10.72352,56405.73331,0
3011153037735,12.88,0.05,311.04061,-10.72351,56405.75226,0
3011153037735,12.86,0.05,311.04061,-10.72352,56405.76172,0
